Date,ID,Click Cost
1/1/2015 12:01,8.89552E+18,11.794442
1/1/2015 12:01,6.48714E+18,11.718663
1/1/2015 12:02,1.27748E+18,0
1/1/2015 12:02,3.77789E+18,0
1/1/2015 12:04,6.20201E+18,9.340521
1/1/2015 12:04,7.37575E+18,9.827456
1/1/2015 12:04,1.16235E+18,0
1/1/2015 12:04,8.37084E+18,0
1/1/2015 12:04,5.21717E+18,0
1/1/2015 12:04,9.20556E+18,0
1/1/2015 12:05,4.03323E+18,14.570611
1/1/2015 12:06,5.02436E+18,0
1/1/2015 12:06,4.17677E+18,8.167711
1/1/2015 12:07,6.19474E+18,0
1/1/2015 12:09,5.90115E+18,9.557479
1/1/2015 12:11,3.33465E+18,0
1/1/2015 12:11,1.20459E+18,13.430781
1/1/2015 12:12,7.92852E+18,11.311353
1/1/2015 12:14,2.37232E+18,0
1/1/2015 12:15,5.87421E+18,14.543623
1/1/2015 12:16,8.91821E+18,14.941834
1/1/2015 12:16,3.8956E+18,6.666157
1/1/2015 12:16,1.08712E+18,11.740378
1/1/2015 12:16,1.73848E+18,0
1/1/2015 12:18,7.11838E+18,7.311993
1/1/2015 12:19,3.28285E+18,0
1/1/2015 12:19,4.56792E+18,0
1/1/2015 12:19,7.20511E+16,9.101524
1/1/2015 12:19,6.89804E+18,0
1/1/2015 12:19,6.0511E+18,0
1/1/2015 12:20,6.75935E+18,0
1/1/2015 12:21,5.86525E+16,5.272682
1/1/2015 12:22,1.46645E+18,0
1/1/2015 12:23,2.29982E+18,8.631576
1/1/2015 12:23,5.0038E+18,0
1/1/2015 12:25,6.31571E+18,13.261555
1/1/2015 12:25,2.58829E+18,0
1/1/2015 12:26,2.24765E+18,8.6406
1/1/2015 12:27,1.86554E+18,6.064837
1/1/2015 12:26,3.04061E+18,0
1/1/2015 12:27,1.33851E+18,8.535093
1/1/2015 12:28,1.39424E+18,0
1/1/2015 12:29,4.99766E+18,7.728129
1/1/2015 12:29,8.04445E+18,0
1/1/2015 12:31,4.61801E+18,6.643453
1/1/2015 12:31,2.79081E+17,8.266378
1/1/2015 12:32,4.53523E+18,0
1/1/2015 12:32,5.26519E+18,10.954269
1/1/2015 12:33,2.1504E+18,0
1/1/2015 12:33,3.73418E+18,0
1/1/2015 12:33,1.27197E+18,0
1/1/2015 12:34,4.11939E+18,0
1/1/2015 12:35,5.64725E+18,0
1/1/2015 12:35,7.28149E+18,0
1/1/2015 12:36,6.22017E+18,6.813447
1/1/2015 12:36,8.83081E+18,0
1/1/2015 12:37,5.7376E+18,5.709412
1/1/2015 12:36,7.73717E+18,9.848377
1/1/2015 12:36,6.86284E+18,7.886231
1/1/2015 12:36,8.80528E+17,0
1/1/2015 12:36,9.64021E+17,0
1/1/2015 12:37,3.78033E+18,9.181712
1/1/2015 12:37,4.41135E+18,0
1/1/2015 12:37,5.50796E+18,9.035671
1/1/2015 12:39,8.20884E+16,6.011843
1/1/2015 12:39,7.66913E+18,11.48627
1/1/2015 12:40,5.02428E+18,0
1/1/2015 12:40,3.24056E+18,0
1/1/2015 12:40,1.26266E+18,12.128742
1/1/2015 12:40,3.90667E+18,6.406267
1/1/2015 12:40,1.12408E+18,0
1/1/2015 12:41,1.70759E+18,0
1/1/2015 12:44,6.56255E+18,0
1/1/2015 12:43,5.98405E+18,0
1/1/2015 12:44,8.63425E+18,0
1/1/2015 12:44,3.22896E+18,0
1/1/2015 12:44,5.76281E+18,0
1/1/2015 12:44,3.45067E+18,5.154232
1/1/2015 12:46,1.06837E+18,0
1/1/2015 12:46,3.37914E+18,5.69194
1/1/2015 12:47,8.49106E+18,9.78389
1/1/2015 12:50,2.10148E+18,0
1/1/2015 12:50,6.33038E+18,7.524573
1/1/2015 12:51,5.59079E+18,12.082276
1/1/2015 12:51,9.09177E+18,13.279141
1/1/2015 12:54,4.18904E+18,0
1/1/2015 12:54,8.01401E+18,9.38464
1/1/2015 12:54,7.86948E+18,11.900187
1/1/2015 12:56,9.39482E+17,0
1/1/2015 12:56,8.75637E+18,12.932
1/1/2015 12:58,4.42545E+18,0
1/1/2015 12:58,1.92828E+18,0
1/1/2015 12:59,5.12865E+17,8.187738
1/1/2015 12:59,5.41712E+17,8.762051
1/1/2015 13:00,2.09788E+16,0
1/1/2015 13:01,7.66059E+18,5.66652
1/1/2015 13:02,1.39573E+18,9.892654
1/1/2015 13:03,5.77867E+18,12.062498
1/1/2015 13:06,2.19034E+18,0
1/1/2015 13:05,7.26008E+17,0
1/1/2015 13:05,5.51234E+18,0
1/1/2015 13:06,7.94754E+18,13.394322
1/1/2015 13:06,8.04914E+18,0
1/1/2015 13:07,3.82806E+18,0
1/1/2015 13:07,2.47472E+18,0
1/1/2015 13:07,6.27844E+18,0
1/1/2015 13:08,7.90534E+18,10.088657
1/1/2015 13:09,7.13317E+18,6.839514
1/1/2015 13:09,1.87242E+18,0
1/1/2015 13:10,9.21498E+18,13.35898
1/1/2015 13:10,9.96227E+17,0
1/1/2015 13:10,4.40251E+18,0
1/1/2015 13:11,4.06854E+18,0
1/1/2015 13:11,6.98103E+17,0
1/1/2015 13:11,7.14577E+18,0
1/1/2015 13:13,9.64548E+17,0
1/1/2015 13:13,1.03372E+18,12.039102
1/1/2015 13:14,6.54607E+17,10.440585
1/1/2015 13:14,3.83331E+18,0
1/1/2015 13:17,7.92431E+17,0
1/1/2015 13:16,8.56827E+18,0
1/1/2015 13:16,7.94628E+18,0
1/1/2015 13:17,6.52855E+18,0
1/1/2015 13:18,4.9261E+18,0
1/1/2015 13:19,6.88969E+18,0
1/1/2015 13:19,9.07646E+18,12.841215
1/1/2015 13:21,1.90812E+18,9.409518
1/1/2015 13:22,4.30579E+18,8.716761
1/1/2015 13:23,2.52413E+18,9.963065
1/1/2015 13:22,6.23184E+18,9.645733
1/1/2015 13:24,7.70185E+18,14.144586
1/1/2015 13:23,4.4576E+18,0
1/1/2015 13:24,6.75204E+18,5.091947
1/1/2015 13:24,6.87492E+18,0
1/1/2015 13:24,5.66307E+18,0
1/1/2015 13:25,4.58185E+18,14.847133
1/1/2015 13:27,1.24626E+18,0
1/1/2015 13:27,4.66036E+18,0
1/1/2015 13:27,6.80212E+18,13.630387
1/1/2015 13:28,3.52264E+18,0
1/1/2015 13:28,8.23699E+18,0
1/1/2015 13:29,2.9871E+18,10.565733
1/1/2015 13:29,1.52016E+18,0
1/1/2015 13:31,9.03028E+18,11.969265
1/1/2015 13:32,8.41497E+18,0
1/1/2015 13:31,4.21362E+17,8.175409
1/1/2015 13:31,3.60953E+18,0
1/1/2015 13:34,2.31809E+18,12.882518
1/1/2015 13:34,3.0986E+18,0
1/1/2015 13:34,3.44429E+18,0
1/1/2015 13:34,4.3422E+18,9.693906
1/1/2015 13:34,5.35024E+18,6.477095
1/1/2015 13:34,4.18333E+18,0
1/1/2015 13:36,3.33004E+18,0
1/1/2015 13:36,3.83906E+18,5.988709
1/1/2015 13:36,8.52957E+18,0
1/1/2015 13:36,3.75059E+18,6.418619
1/1/2015 13:37,5.16439E+18,13.963835
1/1/2015 13:37,4.46552E+17,13.006683
1/1/2015 13:38,2.29371E+18,0
1/1/2015 13:39,5.37116E+17,9.192767
1/1/2015 13:40,3.01352E+18,10.783788
1/1/2015 13:41,2.72717E+18,12.632254
1/1/2015 13:42,2.37516E+18,0
1/1/2015 13:44,8.97526E+18,10.509095
1/1/2015 13:43,2.73545E+18,0
1/1/2015 13:44,1.70802E+18,0
1/1/2015 13:46,7.06127E+18,14.646653
1/1/2015 13:47,1.32867E+18,12.544909
